symbol,size,price,timestamp
LVS,1,58.195,2019-10-21 09:44:27.500636830
CSCO,100,47.345,2019-10-21 12:26:44.187948639
ALLY,8,30.795,2019-10-21 12:17:03.923423423
FTR,5,1.025,2019-10-21 12:14:06.142652904
SYY,2,79.38,2019-10-21 13:45:22.629274408
SUM,8,23.26,2019-10-21 15:52:54.065377036
RIO,1,51.8,2019-10-21 14:37:10.302179422
DERM,100,7.565,2019-10-21 13:34:22.528014090
BND,200,83.985,2019-10-21 11:51:16.403832608
STNE,2,34.02,2019-10-21 13:41:11.502497428
INFY,700,9.055,2019-10-21 11:25:22.255115916
CSX,100,70.415,2019-10-21 14:19:03.469891064
XLI,100,77.295,2019-10-21 14:25:23.377053239
ERI,100,43.36,2019-10-21 15:19:00.995634648
VLO,189,92.75,2019-10-21 09:49:34.672154348
BIIB,100,222.01,2019-10-21 10:36:06.854542837
NTNX,100,27.355,2019-10-21 15:59:38.857142974
SPIB,100,35.235,2019-10-21 11:30:23.938023224
BBBY,100,12.805,2019-10-21 10:56:23.341982671
WPG,29,4.23,2019-10-21 14:43:21.813787477
CTL,102,12.5,2019-10-21 11:29:39.660852877
SPY,100,299.87,2019-10-21 13:04:54.423365743
TBPH,100,17.395,2019-10-21 14:00:21.286371692
KOPN,1800,0.5667,2019-10-21 09:35:36.710208127
EVTC,10,31.65,2019-10-21 15:55:17.644244703
SPR,100,74.7,2019-10-21 14:10:08.962305532
TSM,100,49.46,2019-10-21 09:37:26.406958162
CNC,300,46.7,2019-10-21 13:56:16.205403747
AMTD,100,37.66,2019-10-21 14:14:46.328390709
BAC,100,31.0,2019-10-21 10:07:34.479319969
MDR,158,2.52,2019-10-21 09:43:11.275110193
MRC,93,11.315,2019-10-21 13:52:56.330297825
SPG,100,152.255,2019-10-21 10:59:20.174270853
WFC,100,50.37,2019-10-21 10:23:18.919161838
BAC,67,31.015,2019-10-21 09:45:16.650926952
KKR,100,27.39,2019-10-21 10:10:18.041953299
PSX,3,108.25,2019-10-21 13:29:50.145543247
APPN,100,42.38,2019-10-21 13:08:39.717093406
RES,100,5.08,2019-10-21 14:13:17.601869383
FLR,100,19.41,2019-10-21 09:55:58.957114508
ERIC,100,9.095,2019-10-21 11:36:38.119312335
GIL,100,27.04,2019-10-21 15:50:19.082873811
XPO,10,77.77,2019-10-21 11:40:23.982910235
VIAB,200,21.87,2019-10-21 15:17:25.591927601
ABR,100,13.605,2019-10-21 15:20:58.197335574
CAH,200,49.24,2019-10-21 10:05:27.208290109
NVT,10,21.385,2019-10-21 10:52:56.576873400
BAC,400,31.08,2019-10-21 14:39:11.243588144
FTCH,100,8.025,2019-10-21 11:31:05.452372962
FPE,738,19.91,2019-10-21 10:03:19.246139036
FXI,400,41.635,2019-10-21 15:29:06.801958381
BLMN,10,18.385,2019-10-21 15:52:18.484471632
CSCO,38,47.46,2019-10-21 14:15:43.539979795
FIT,200,3.975,2019-10-21 10:51:27.653565801
WAB,95,69.43,2019-10-21 15:54:33.938974587
TGT,200,113.39,2019-10-21 14:33:05.005070470
CCL,3,43.28,2019-10-21 09:40:12.878303521
FDP,100,28.815,2019-10-21 15:36:05.952591896
DK,100,38.02,2019-10-21 15:25:09.930109016
ENLC,200,6.805,2019-10-21 15:53:06.094111872
XOM,100,68.23,2019-10-21 10:49:34.040210860
PBCT,100,16.605,2019-10-21 15:44:05.692789813
CTSH,45,60.43,2019-10-21 10:30:28.868515335
CF,100,46.75,2019-10-21 12:44:34.488450515
XLU,100,63.9,2019-10-21 10:30:30.429200658
OUT,100,27.045,2019-10-21 15:55:10.417601373
MNSB,1,20.805,2019-10-21 15:45:16.258521800
CLF,18,6.965,2019-10-21 11:31:39.478256315
INFY,100,9.28,2019-10-21 15:23:57.709008598
OAS,200,2.785,2019-10-21 10:11:32.081986905
STLD,158,29.28,2019-10-21 12:39:20.975548541
EQH,100,22.31,2019-10-21 15:36:16.329089404
TEVA,200,7.545,2019-10-21 09:36:48.384916090
ODP,100,1.925,2019-10-21 11:26:15.857585947
CPE,100,3.855,2019-10-21 09:34:47.145092945
SLM,90,9.005,2019-10-21 09:59:03.643138890
BIMI,100,7.58,2019-10-21 12:42:16.135811527
AQN,100,13.855,2019-10-21 15:52:28.969591421
BMI,99,59.53,2019-10-21 13:57:44.524995967
MRK,292,84.725,2019-10-21 14:10:30.474688672
MRK,71,84.49,2019-10-21 15:20:09.757616350
M,100,15.415,2019-10-21 09:46:06.371132914
ICE,100,93.56,2019-10-21 14:05:29.703546527
FIT,100,4.07,2019-10-21 13:23:44.468614898
IWM,4,154.61,2019-10-21 11:55:46.161671144
THC,1,25.015,2019-10-21 11:17:24.684221856
BRK.B,100,211.1,2019-10-21 14:37:38.332407635
GE,300,8.795,2019-10-21 15:36:21.805819957
JD,100,30.78,2019-10-21 11:43:02.721617330
XLF,200,28.515,2019-10-21 15:30:11.418567625
TEVA,65,8.495,2019-10-21 14:25:30.455308138
BPR,200,19.365,2019-10-21 15:50:19.309893024
GFI,100,5.49,2019-10-21 11:33:12.881781040
XLF,300,28.405,2019-10-21 09:51:20.535933583
FIXX,10,13.79,2019-10-21 13:12:55.336955341
CVA,100,17.005,2019-10-21 10:43:04.051998239
UAE,268,14.25,2019-10-21 11:07:01.535148256
MFGP,100,13.165,2019-10-21 13:38:40.540225043
DOX,8,66.135,2019-10-21 11:00:13.270422219
ENDP,200,4.57,2019-10-21 14:32:25.209045243
GE,9,9.055,2019-10-21 09:52:06.773699487
LEA,100,121.28,2019-10-21 11:01:49.068513928
RLGY,100,8.14,2019-10-21 15:45:49.084392570
PAYS,100,11.185,2019-10-21 10:53:38.519931054
EQT,313,9.51,2019-10-21 10:54:09.105227590
WFC,100,50.3,2019-10-21 09:54:53.368208766
GTHX,10,21.11,2019-10-21 10:12:21.381322168
IJR,11,78.84,2019-10-21 14:28:11.091307020
TEAM,1,116.85,2019-10-21 09:52:25.440068286
NFLX,100,273.8,2019-10-21 09:57:16.746066194
NEM,100,37.915,2019-10-21 15:40:28.844565726
INFY,100,9.135,2019-10-21 10:42:45.920764569
INFY,100,9.115,2019-10-21 11:58:20.299129495
FLEX,400,10.475,2019-10-21 12:35:05.231725965
EDU,100,115.0,2019-10-21 10:39:04.569224956
HOLI,100,14.34,2019-10-21 11:43:49.548110052
MRK,1,84.385,2019-10-21 10:12:07.730482232
FSLY,100,22.47,2019-10-21 10:09:54.417573432
TER,100,59.87,2019-10-21 13:43:27.263412499
CSCO,100,47.145,2019-10-21 11:24:37.951042386
HPQ,3,17.2,2019-10-21 10:45:55.692041725
AMT,100,228.59,2019-10-21 14:04:35.432287155
MMC,100,99.195,2019-10-21 13:28:57.549089195
ATI,300,20.04,2019-10-21 10:19:18.700204008
V,1,176.56,2019-10-21 15:25:51.845212036
MDR,100,2.1,2019-10-21 10:45:48.506482491
MSFT,100,137.83,2019-10-21 11:08:39.520434882
CXP,100,20.27,2019-10-21 15:57:15.275631499
TWLO,1,106.81,2019-10-21 10:38:08.415241775
VICI,100,23.32,2019-10-21 12:16:24.058668764
AEO,100,15.795,2019-10-21 15:51:33.437454972
VHC,10,5.98,2019-10-21 13:21:54.816625039
AR,100,2.535,2019-10-21 12:20:53.577022702
INTC,100,52.12,2019-10-21 15:59:19.494399195
BDSI,100,5.26,2019-10-21 12:32:42.121987487
LYFT,75,40.96,2019-10-21 11:39:07.235676015
CMCSA,29,45.865,2019-10-21 13:10:11.912073327
VIPS,1,9.685,2019-10-21 12:28:46.429398735
IAA,100,39.055,2019-10-21 15:27:35.884660746
VLO,100,93.37,2019-10-21 13:36:48.646952531
TGE,8,18.83,2019-10-21 10:50:03.041035740
TISI,200,18.31,2019-10-21 11:28:58.399334001
WU,300,24.355,2019-10-21 15:51:44.905253743
CRZO,99,7.47,2019-10-21 14:06:03.682442984
WFC,100,50.265,2019-10-21 11:02:44.367970971
PPDF,100,2.775,2019-10-21 11:43:50.993828986
AMGN,100,202.075,2019-10-21 13:50:06.058702547
DNOW,100,10.615,2019-10-21 10:41:19.561904122
TPX,100,83.11,2019-10-21 10:10:23.973502688
IONS,100,54.74,2019-10-21 14:43:27.682409130
ADI,1,110.74,2019-10-21 14:50:25.003642833
S,100,6.405,2019-10-21 13:51:52.736778781
EA,100,95.83,2019-10-21 15:52:27.166581114
BA,200,328.965,2019-10-21 09:39:10.360096334
EROS,200,2.14,2019-10-21 11:26:40.581265510
IMGN,100,2.59,2019-10-21 12:45:18.403592604
ELY,4,20.83,2019-10-21 12:31:36.545612509
ENDP,100,4.715,2019-10-21 14:00:59.959738810
AMT,48,229.34,2019-10-21 15:59:55.052392745
HRC,39,101.67,2019-10-21 15:30:37.368939316
PLAN,2,44.79,2019-10-21 10:45:04.208945750
CHT,100,36.745,2019-10-21 12:50:20.841289593
SPY,278,299.63,2019-10-21 11:58:41.527775182
ZION,21,45.29,2019-10-21 14:10:30.248306555
APA,100,22.285,2019-10-21 11:45:40.932659447
UBER,100,31.995,2019-10-21 09:35:26.183237852
HPE,300,16.29,2019-10-21 12:32:06.962004952
AME,6,88.22,2019-10-21 13:26:06.729796332
UBER,1,31.56,2019-10-21 13:13:55.640551385
C,100,71.13,2019-10-21 10:49:20.480796404
FAF,100,60.215,2019-10-21 14:50:53.042764930
EEM,700,42.225,2019-10-21 13:59:10.069328087
DOW,100,47.19,2019-10-21 15:57:27.087186944
NYT,100,29.595,2019-10-21 12:57:30.008736154
PINS,100,25.86,2019-10-21 10:14:00.913882137
HBM,100,3.675,2019-10-21 09:54:57.603567398
SLV,100,16.575,2019-10-21 10:49:42.999396462
GPS,100,17.12,2019-10-21 11:06:27.980191595
HOLX,6,49.16,2019-10-21 15:24:33.401616432
SCPL,100,8.4,2019-10-21 11:21:47.262904593
CISN,100,8.46,2019-10-21 14:16:59.092053973
PLYA,100,7.93,2019-10-21 14:50:28.759946405
CTL,100,12.42,2019-10-21 15:56:03.743594661
VZ,229,60.755,2019-10-21 13:01:35.361607769
JHG,100,22.725,2019-10-21 14:22:02.799644559
WFC,8,50.345,2019-10-21 14:24:40.979694652
HAL,10,19.66,2019-10-21 11:21:40.698310175
