pl_name,hostname,disc_year,radius,temperature,mass,ra,dec,habitable
Kepler-1125 b,Kepler-1125,2016,1.84,,,295.4812018,40.7319316,FALSE
Kepler-1126 b,Kepler-1126,2016,1.73,,,285.691955,45.6893993,FALSE
Kepler-1127 b,Kepler-1127,2016,1.96,,,293.2173563,42.7205846,FALSE
Kepler-1128 b,Kepler-1128,2016,3.65,,,293.063315,39.4034052,FALSE
Kepler-1129 b,Kepler-1129,2016,2.96,,,291.6044965,41.3093275,FALSE
Kepler-1129 c,Kepler-1129,2016,2.73,,,291.6044965,41.3093275,FALSE
Kepler-113 b,Kepler-113,2014,1.82,,11.7,287.9978721,50.9441847,FALSE
Kepler-113 c,Kepler-113,2014,2.18,,8.7,287.9978721,50.9441847,FALSE
Kepler-1130 b,Kepler-1130,2016,0.8,,,285.207421,45.384333,FALSE
Kepler-1131 b,Kepler-1131,2016,1.59,,,295.6514492,49.2612954,FALSE
Kepler-1132 b,Kepler-1132,2016,2.35,,,286.3675188,48.4238906,FALSE
Kepler-1133 b,Kepler-1133,2016,1.97,,,293.3224114,42.8674925,FALSE
Kepler-1134 b,Kepler-1134,2016,2.64,,,295.5678578,42.4781064,FALSE
Kepler-1135 b,Kepler-1135,2016,1.85,,,286.0029904,44.7565551,FALSE
Kepler-1136 b,Kepler-1136,2016,1.64,,,284.1078441,44.2458047,FALSE
Kepler-1137 b,Kepler-1137,2016,2.2,,,287.1302407,48.665347,FALSE
Kepler-1138 b,Kepler-1138,2016,1.7,,,285.8993164,48.307285,FALSE
Kepler-1139 b,Kepler-1139,2016,1.19,,,287.9455985,39.2305281,FALSE
Kepler-114 b,Kepler-114,2014,1.26,,,294.121482,48.3497977,FALSE
Kepler-114 c,Kepler-114,2013,1.6,,2.8,294.121482,48.3497977,FALSE
Kepler-114 d,Kepler-114,2013,2.53,,3.9,294.121482,48.3497977,FALSE
Kepler-1140 b,Kepler-1140,2016,2.77,,,281.6940529,46.946521,FALSE
Kepler-1141 b,Kepler-1141,2016,0.82,,,290.5436836,47.7259073,FALSE
Kepler-1142 b,Kepler-1142,2016,1.47,,,292.7144796,44.0822816,FALSE
Kepler-1143 b,Kepler-1143,2016,1.67,,,287.302772,39.2896399,FALSE
Kepler-1143 c,Kepler-1143,2016,3.6,,,287.302772,39.2896399,FALSE
Kepler-1144 b,Kepler-1144,2016,1.99,,,290.0432936,47.2578857,FALSE
Kepler-1145 b,Kepler-1145,2016,1.4,,,295.3081524,43.0444026,FALSE
Kepler-1146 b,Kepler-1146,2016,1.23,,,286.716712,47.425658,FALSE
Kepler-1147 b,Kepler-1147,2016,2.61,,,292.5474753,41.6429221,FALSE
Kepler-1148 b,Kepler-1148,2016,1.69,,,290.9536059,45.7195545,FALSE
Kepler-1149 b,Kepler-1149,2016,1.44,,,294.1891824,45.1515263,FALSE
Kepler-115 b,Kepler-115,2014,1.09,,,297.7119299,45.261985,FALSE
Kepler-115 c,Kepler-115,2014,2.6,,,297.7119299,45.261985,FALSE
Kepler-1150 b,Kepler-1150,2016,1.02,,,296.7244553,49.5326846,FALSE
Kepler-1151 b,Kepler-1151,2016,2.22,,,292.2477819,47.8784257,FALSE
Kepler-1152 b,Kepler-1152,2016,0.87,,,290.4341483,44.1077802,FALSE
Kepler-1153 b,Kepler-1153,2016,1.73,,,289.1471849,45.86613,FALSE
Kepler-1154 b,Kepler-1154,2016,2.34,,,297.4771158,39.8772345,FALSE
Kepler-1154 c,Kepler-1154,2016,2.36,,,297.4771158,39.8772345,FALSE
Kepler-1155 b,Kepler-1155,2016,2.03,,,288.8206058,39.5228712,FALSE
Kepler-1156 b,Kepler-1156,2016,1.32,,,288.9240901,46.0575865,FALSE
Kepler-1157 b,Kepler-1157,2016,1.09,,,283.1209268,43.5255701,FALSE
Kepler-1158 b,Kepler-1158,2016,2.34,,,292.2339048,41.5751832,FALSE
Kepler-1159 b,Kepler-1159,2016,2.37,,,294.266325,45.2042317,FALSE
